date,Ozempic,semaglutide,Novo Nordisk,weight loss drug
2018-09-19,17.142857142857142,5.833333333333334,49.64,5.818181818181818
2018-09-20,21.42857142857143,4.166666666666667,44.88,6.545454545454546
2018-09-21,15.0,4.166666666666667,40.120000000000005,6.545454545454546
2018-09-22,10.714285714285715,0.0,19.040000000000003,5.090909090909091
2018-09-23,8.571428571428571,0.0,17.68,4.363636363636363
2018-09-24,20.0,4.166666666666667,41.480000000000004,0.0
2018-09-25,19.285714285714285,0.0,38.760000000000005,6.545454545454546
2018-09-26,23.571428571428573,4.166666666666667,42.84,5.818181818181818
2018-09-27,17.142857142857142,5.0,46.24,5.090909090909091
2018-09-28,16.42857142857143,4.166666666666667,42.160000000000004,5.090909090909091
2018-09-29,11.428571428571429,0.0,21.080000000000002,4.363636363636363
2018-09-30,13.571428571428571,0.0,17.68,5.090909090909091
2018-10-01,18.571428571428573,4.166666666666667,44.2,5.818181818181818
2018-10-02,21.42857142857143,0.0,39.440000000000005,5.090909090909091
2018-10-03,22.857142857142858,4.166666666666667,37.400000000000006,4.363636363636363
2018-10-04,21.42857142857143,5.833333333333334,68.0,7.272727272727273
2018-10-05,16.42857142857143,0.0,44.2,5.818181818181818
2018-10-06,11.428571428571429,0.0,18.360000000000003,4.363636363636363
2018-10-07,9.285714285714286,0.0,14.280000000000001,4.363636363636363
2018-10-08,15.0,5.833333333333334,38.080000000000005,8.0
2018-10-09,12.857142857142858,4.166666666666667,40.800000000000004,4.363636363636363
2018-10-10,15.0,4.166666666666667,39.440000000000005,5.818181818181818
2018-10-11,11.428571428571429,5.0,42.160000000000004,5.818181818181818
2018-10-12,15.714285714285715,5.833333333333334,38.080000000000005,0.0
2018-10-13,9.285714285714286,0.0,16.32,0.0
2018-10-14,7.857142857142858,0.0,14.96,5.818181818181818
2018-10-15,18.571428571428573,0.0,42.160000000000004,3.6363636363636367
2018-10-16,22.142857142857142,6.666666666666667,46.24,8.0
2018-10-17,15.714285714285715,0.0,44.2,5.818181818181818
2018-10-18,19.285714285714285,6.666666666666667,42.160000000000004,5.090909090909091
2018-10-19,15.0,0.0,39.440000000000005,0.0
2018-10-20,9.285714285714286,0.0,15.64,4.363636363636363
2018-10-21,12.142857142857142,0.0,21.76,0.0
2018-10-22,18.571428571428573,4.166666666666667,40.800000000000004,4.363636363636363
2018-10-23,23.571428571428573,4.166666666666667,40.120000000000005,5.818181818181818
2018-10-24,19.285714285714285,0.0,42.84,0.0
2018-10-25,17.857142857142858,5.0,38.080000000000005,4.363636363636363
2018-10-26,14.285714285714286,0.0,36.720000000000006,3.6363636363636367
2018-10-27,15.0,0.0,19.040000000000003,0.0
2018-10-28,11.428571428571429,0.0,13.600000000000001,0.0
2018-10-29,13.571428571428571,0.0,43.52,5.090909090909091
2018-10-30,18.571428571428573,5.0,40.800000000000004,3.6363636363636367
2018-10-31,22.142857142857142,4.166666666666667,37.400000000000006,5.090909090909091
2018-11-01,31.42857142857143,6.666666666666667,57.800000000000004,0.0
2018-11-02,20.714285714285715,5.833333333333334,41.480000000000004,0.0
2018-11-03,14.285714285714286,0.0,18.360000000000003,4.363636363636363
2018-11-04,13.571428571428571,0.0,16.32,0.0
2018-11-05,19.285714285714285,4.166666666666667,36.720000000000006,6.545454545454546
2018-11-06,20.714285714285715,5.833333333333334,42.160000000000004,5.818181818181818
2018-11-07,17.142857142857142,5.0,38.760000000000005,3.6363636363636367
2018-11-08,20.0,0.0,38.760000000000005,3.6363636363636367
2018-11-09,21.42857142857143,5.0,39.440000000000005,0.0
2018-11-10,12.857142857142858,0.0,17.68,0.0
2018-11-11,7.857142857142858,4.166666666666667,15.64,5.090909090909091
2018-11-12,25.0,5.0,39.440000000000005,5.818181818181818
