date,trend_Ozempic,trend_semaglutide,trend_Novo Nordisk,trend_weight loss drug,price_raw,price_norm,volume,returns,volatility
2019-10-27,30.509570360634196,0.0,21.11964664100039,4.199999999999999,23.480205535888672,4.797579241792633,14460400,0.006303129975484881,0.01050891687205026
2019-11-03,33.28316766614639,0.0,19.799668725937867,4.199999999999999,24.463781356811523,5.647698915032741,13082600,0.0083113209076315,0.009727359854082119
2019-11-10,30.509570360634196,4.621428571428572,26.399558301250487,5.6,25.07472801208496,6.175749483072203,13023400,0.00501268068542712,0.0093454933194326
2019-11-17,31.89636901339029,0.0,25.079580386187963,0.0,24.8190860748291,5.9547942343324465,15896600,-0.0020158922100764593,0.01039660683107338
2019-11-24,27.735973055121992,0.0,17.159712895812817,0.0,23.59719467163086,4.89869474680421,21375600,-0.0098726872617415,0.013267414333367181
2019-12-01,24.96237574960979,0.0,19.799668725937867,4.199999999999999,24.3294677734375,5.531609624120222,10358000,0.007774480020927574,0.016242487120442926
2019-12-08,29.12277170787809,7.702380952380952,18.47969081087534,5.6,24.585105895996094,5.7525615757586035,15142200,0.0021274545121968995,0.01534042228719874
2019-12-15,34.66996631890249,4.621428571428572,21.11964664100039,0.0,24.806081771850582,5.94355441574028,12341400,0.00181331549035052,0.014322598728964981
2019-12-22,31.89636901339029,4.621428571428572,17.159712895812817,0.0,25.13105773925781,6.22443613054688,20540800,0.0027033348659657405,0.014221760583441781
2019-12-29,29.12277170787809,4.621428571428572,13.199779150625243,5.6,25.243709564208984,6.321802831293488,5541200,0.0011276548322447502,0.010214911846174075
2020-01-05,37.443563624414686,4.621428571428572,22.439624556062917,2.8,24.745424270629883,5.8911272067540725,7498200,-0.004906124459996775,0.009634911989739425
2020-01-12,29.12277170787809,4.621428571428572,18.47969081087534,0.0,25.42569351196289,6.479094349556249,11186800,0.005481290509069781,0.01017752260003462
2020-01-19,85.98151647087818,4.621428571428572,22.439624556062917,4.199999999999999,26.56525993347168,7.464039092280296,17893800,0.00902788447539044,0.01337006257463412
2020-01-26,40.21716092992689,0.0,27.719536216313013,0.0,26.46560287475586,7.377903967372412,10535600,-0.0009265360540287502,0.01383650357004745
2020-02-02,40.21716092992689,4.621428571428572,25.079580386187963,4.199999999999999,26.357282638549805,7.2842811252387145,12165200,-0.0007781294488422397,0.014522967759455099
2020-02-09,31.89636901339029,0.0,21.11964664100039,0.0,27.405851364135746,8.19057516317932,17729000,0.00806746009814446,0.015425956531455981
2020-02-16,37.443563624414686,4.621428571428572,21.11964664100039,2.8,27.492509841918945,8.265475415147101,10174200,0.0006660163825956405,0.01638106503324856
2020-02-23,36.05676497165859,4.621428571428572,26.399558301250487,4.199999999999999,27.66582679748535,8.415275919082669,6833800,0.0015995089111435752,0.013478902211096575
2020-03-01,40.21716092992689,0.0,27.719536216313013,0.0,25.187387466430664,6.273122778021562,18900600,-0.01846275275145666,0.0167231658534572
2020-03-08,40.21716092992689,4.621428571428572,19.799668725937867,4.199999999999999,27.1025447845459,7.928422632741385,29432800,0.015276644706842101,0.022843221672175278
2020-03-15,33.84856982251197,3.6256410256410256,23.2121273166801,3.4666666666666663,24.576440811157227,5.7450722099821,27932600,-0.017972292422927277,0.029157656558330518
2020-03-22,26.59530486054512,0.0,19.34343943056675,0.0,21.43072891235352,3.02618515050823,29702800,-0.02613606256435418,0.04044025885929392
2020-03-29,31.430814835189683,0.0,24.75960247112544,0.0,24.9263858795166,6.047535101847956,31931200,0.030983979065036443,0.04391406565764824
2020-04-05,21.75979488590055,0.0,20.89091458501209,3.4666666666666663,26.292875289916992,7.228612865599499,26488200,0.01104872834179976,0.04602989150932498
2020-04-12,29.0130598478674,0.0,17.79596427612141,3.4666666666666663,26.36318016052246,7.289378443966636,24742000,0.0008953043689658249,0.04360128665329373
2020-04-19,29.818978176974827,0.0,17.02222669889874,0.0,27.712099075317383,8.455269758778458,40243400,0.0101853187130963,0.03298170015708366
2020-04-26,27.401223189652544,0.0,17.79596427612141,5.199999999999999,28.52056884765625,9.154042587537464,15882200,0.005813900957407579,0.025139655366108037
2020-05-03,26.59530486054512,4.532051282051282,18.56970185334408,5.199999999999999,27.870275497436523,8.591984067351078,11991600,-0.00454365518123854,0.017440043389460442
2020-05-10,29.0130598478674,3.6256410256410256,20.11717700778942,4.333333333333333,27.57588768005371,8.337540159931178,12720400,-0.002075327414751581,0.015223077465330559
2020-05-17,33.84856982251197,0.0,20.11717700778942,3.4666666666666663,28.0811824798584,8.774274208249738,14886000,0.003763363092044579,0.014184008580985341
2020-05-24,31.430814835189683,0.0,20.89091458501209,6.066666666666666,28.48541641235352,9.123659798353899,14425600,0.00287444275302686,0.01218443346990814
2020-05-31,29.818978176974827,0.0,19.34343943056675,5.199999999999999,28.97313499450684,9.545202452080675,12187800,0.004491675390002073,0.013413683497425024
2020-06-07,37.87816146804911,0.0,23.98586489390277,4.333333333333333,28.33602523803711,8.994538714251137,9793200,-0.0044302282833728,0.014015596023051042
2020-06-14,40.29591645537139,4.532051282051282,20.11717700778942,4.333333333333333,28.38875389099121,9.040112898026491,16762400,0.0005687826160441003,0.01434391603742948
2020-06-21,45.13142643001596,0.0,17.79596427612141,4.333333333333333,29.68054580688477,10.156628471175969,17450000,0.00902128172498552,0.01541932041042968
2020-06-28,40.29591645537139,6.3448717948717945,18.56970185334408,3.4666666666666663,29.017072677612305,9.583178465734099,11251800,-0.004430096315084399,0.01592207318897242
2020-07-05,33.84856982251197,5.438461538461539,19.34343943056675,5.199999999999999,29.157678604125977,9.704706325366997,10419600,0.0012297742414780252,0.014637641432714675
2020-07-12,44.32550810090853,0.0,18.56970185334408,3.4666666666666663,28.753442764282227,9.35531908671215,10092800,-0.00275246313452554,0.01472621155757676
2020-07-19,44.32550810090853,0.0,20.11717700778942,4.333333333333333,29.513574600219727,10.012312695380045,9661200,0.005322923298192379,0.01205373832171754
2020-07-26,37.87816146804911,5.438461538461539,21.66465216223476,6.933333333333333,29.074195861816406,9.632550910295071,10668000,-0.0028659595036780797,0.0127334006857928
2020-08-02,39.48999812626396,7.251282051282051,19.34343943056675,5.199999999999999,28.70511245727539,9.313546460823792,8461400,-0.00243940184084634,0.0131904528170185
2020-08-09,40.29591645537139,0.0,18.56970185334408,3.4666666666666663,28.401933670043945,9.051504383281967,14856400,-0.0020347039088043604,0.014279493120194501
2020-08-16,43.75128455661461,4.261111111111111,17.727397580036584,4.266666666666667,29.12407875061035,9.675665456443626,8448400,0.005121339943248861,0.01549336806022732
2020-08-23,38.89003071699077,0.0,21.45948128109692,4.266666666666667,29.367624282836918,9.886165596718808,7408600,0.0016977718249642005,0.01443846367292632
2020-08-30,44.72353532453938,5.326388888888889,25.191564982157253,5.333333333333333,29.150650024414062,9.698631416080971,6615000,-0.00146219119215038,0.01263019914703056
2020-09-06,53.47379223586231,0.0,19.59343943056675,4.266666666666667,28.831817626953125,9.423059683041073,8581600,-0.0021654955542481204,0.010834799839414041
2020-09-13,49.58478916416323,4.261111111111111,20.526460355831837,4.266666666666667,29.425195693969727,9.935925450691503,7119600,0.005222891064365026,0.010732991176357275
2020-09-20,50.557039932088,6.391666666666667,20.526460355831837,3.2,30.74921989440918,11.08029988192091,8784000,0.0088945803191519,0.01054768313237494
2020-09-27,44.72353532453938,5.326388888888889,18.660418505301667,3.2,30.580949783325195,10.934861443106323,8762800,-0.0010506447220084204,0.01140240709254234
2020-10-04,38.89003071699077,5.326388888888889,17.727397580036584,5.333333333333333,30.40382194519043,10.781767134895727,10208800,-0.0011179949584414002,0.01212058612319704
2020-10-11,50.557039932088,5.326388888888889,19.59343943056675,4.266666666666667,31.91382598876953,12.086886798079675,11977400,0.009911593664903299,0.01320626780304374
2020-10-18,55.41829377171185,5.326388888888889,17.727397580036584,3.2,31.448869705200195,11.685017948265909,9090800,-0.0028157977613375794,0.01467751926100506
2020-10-25,55.41829377171185,6.391666666666667,19.59343943056675,7.466666666666667,31.32488250732422,11.577853910779316,9622600,-0.0007809523484114601,0.014557259068011499
2020-11-01,37.917779949066,6.391666666666667,17.727397580036584,5.333333333333333,28.291582107543945,8.956125834665334,13349600,-0.02010226783580612,0.015601878320630942
2020-11-08,47.64028762831369,6.391666666666667,21.45948128109692,0.0,31.15660858154297,11.432412174863355,19455200,0.01990154566649988,0.0209694484084667
2020-11-15,57.362795307561385,5.326388888888889,24.25854405689217,4.266666666666667,30.146987915039062,10.559781541975843,12190800,-0.006456610185317421,0.02314388872587492
2020-11-22,53.47379223586231,5.326388888888889,16.7943766547715,5.333333333333333,29.93000602722168,10.372240767135258,11551000,-0.0014069752853733198,0.02282927594959612
2020-11-29,48.61253839623846,6.391666666666667,18.660418505301667,0.0,29.907867431640625,10.353106039297295,8633400,-6.621120107594934e-05,0.022877156583740274
2020-12-06,54.44604300378708,0.0,18.660418505301667,4.266666666666667,30.027433395385746,10.456448736288635,8632600,0.0008402372132844598,0.01989184417482766
2020-12-13,63.19629991511,8.522222222222222,19.59343943056675,0.0,30.793495178222656,11.118567689046149,8539000,0.005123809992464,0.011834807465221999
2020-12-20,57.362795307561385,5.326388888888889,20.526460355831837,0.0,32.679901123046875,12.749017290692008,13786200,0.01211228374915692,0.0129791659381299
2020-12-27,42.77903378868985,6.391666666666667,21.45948128109692,4.266666666666667,30.74478530883789,11.076467001570837,6334600,-0.015109330456825476,0.016172108024516026
2021-01-03,58.33504607548616,5.326388888888889,19.59343943056675,6.4,30.930774688720703,11.237220476278823,7581200,0.0015346129499366752,0.015601233746796875
2021-01-10,59.30729684341093,6.391666666666667,23.325523131627087,6.4,31.11232566833496,11.39413777353536,11045800,0.0013268715598566997,0.01671301459042404
2021-01-17,52.52235339199397,4.228472222222222,21.364466334479,2.6333333333333333,31.896120071411133,12.071583302041093,10446400,0.005071281072444559,0.01686841684653746
2021-01-24,58.35817043554886,4.228472222222222,21.364466334479,2.6333333333333333,32.2503776550293,12.377773567012976,7603000,0.002819619612379075,0.015036490034743149
2021-01-31,70.02980452265862,0.0,21.364466334479,0.0,30.820068359375,11.141535297234185,9405400,-0.008832821900998161,0.01482752534461606
2021-02-07,58.35817043554886,4.228472222222222,16.02334975085925,2.6333333333333333,31.61714553833008,11.83046133273256,12332400,0.00517977336178218,0.0162886129507369
2021-02-14,87.53725565332329,76.1125,26.705582918098752,5.266666666666667,33.57439041137695,13.522138106938254,14491600,0.012230744410525619,0.0157939004852371
2021-02-21,81.7014386097684,29.599305555555556,21.364466334479,2.6333333333333333,32.803890228271484,12.856182976729288,12072000,-0.00575784635722455,0.016993334880763475
2021-02-28,75.8656215662135,16.913888888888888,21.364466334479,2.6333333333333333,31.55071449279785,11.77304396081316,9418400,-0.007707301499666421,0.01701751865371396
2021-03-07,58.35817043554886,21.14236111111111,21.364466334479,2.6333333333333333,30.82449722290039,11.14536323193219,10250800,-0.004476392845050879,0.015824845603877303
2021-03-14,70.02980452265862,8.456944444444444,21.364466334479,2.6333333333333333,31.44443702697754,11.681186716466526,9426800,0.0041041858530088005,0.01735747282653454
2021-03-21,81.7014386097684,25.37083333333333,21.364466334479,2.6333333333333333,31.152179718017575,11.428584240165346,6369800,-0.0018031340855313403,0.01512892371084398
2021-03-28,70.02980452265862,12.685416666666663,16.02334975085925,2.6333333333333333,30.442459106445312,10.81516182618664,10139400,-0.004349579210035459,0.01686506238905652
2021-04-04,58.35817043554886,4.228472222222222,16.02334975085925,0.0,30.38856506347656,10.768580377940792,6152200,-0.0004161937694967001,0.0170808046244686
2021-04-11,93.37307269687815,8.456944444444444,16.02334975085925,2.6333333333333333,31.49344062805176,11.723541280747822,7563800,0.0072099335607682,0.015044108520542198
2021-04-18,70.02980452265862,8.456944444444444,16.02334975085925,0.0,32.41416931152344,12.519341208811664,9273000,0.00583510065530436,0.01480098036372846
2021-04-25,70.02980452265862,8.456944444444444,16.02334975085925,0.0,33.26302719116211,13.253022098393352,6684000,0.00519879112837302,0.01249795743939464
2021-05-02,75.8656215662135,4.228472222222222,16.02334975085925,2.6333333333333333,33.21363067626953,13.210327932670287,7184200,-0.00028862979955598006,0.00877163824719
2021-05-09,70.02980452265862,8.456944444444444,16.02334975085925,0.0,33.981658935546875,13.87414654118734,11232400,0.00467167515554338,0.00959550158439542
2021-05-16,81.7014386097684,8.456944444444444,16.02334975085925,2.6333333333333333,35.52668380737305,15.209535243557374,11879600,0.0089477004849484,0.009044502230991899
2021-05-23,81.7014386097684,12.685416666666663,21.364466334479,0.0,36.5147819519043,16.063563630479212,9316800,0.005550352483901899,0.00967687760683668
2021-05-30,81.7014386097684,4.228472222222222,21.364466334479,2.6333333333333333,35.436851501464844,15.131891803244422,8345400,-0.005927795718394959,0.01074659370916944
2021-06-06,100.0,71.88402777777777,48.07004925257775,18.433333333333334,36.35757446289063,15.927686785656203,5243200,0.006461740508269351,0.010834034240510125
2021-06-13,100.0,16.913888888888888,16.02334975085925,7.9,37.92956161499024,17.286379400554665,13802200,0.008529799224978759,0.01045309555117282
2021-06-20,74.87931034482759,9.12361111111111,15.901430061439273,4.0,36.95494079589844,16.44399967279566,9030600,-0.00517939540727672,0.010151846043691801
2021-06-27,74.87931034482759,12.164814814814813,15.901430061439273,4.0,37.1884880065918,16.64585811036328,6659000,0.0012792127408842598,0.00980242183000886
2021-07-04,81.8448275862069,13.685416666666663,21.864466334479,3.0,38.09124755859375,17.426127042393567,6238000,0.00481244978294792,0.00830688073698504
2021-07-11,87.06896551724138,12.164814814814813,19.87678757679909,3.0,38.86825180053711,18.097703730449304,6992600,0.00509133840087055,0.0077435110289874745
2021-07-18,76.62068965517241,9.12361111111111,19.87678757679909,3.0,39.8204231262207,18.92068001660816,6379000,0.00486172788497514,0.00682708306635964
2021-07-25,78.36206896551724,9.12361111111111,17.889108819119183,3.0,40.75911712646485,19.732007643604184,12188800,0.00477697443901218,0.006998911837960581
2021-08-01,78.36206896551724,7.603009259259258,17.889108819119183,2.0,41.59001541137695,20.450165779905756,9129400,0.00412450109465402,0.01014584546859562
2021-08-08,76.62068965517241,9.12361111111111,23.85214509215891,2.0,44.68007659912109,23.12095307594994,18406800,0.014990090506546622,0.014852089402256458
2021-08-15,92.29310344827586,7.603009259259258,19.87678757679909,3.0,46.15324783325195,24.394237576794026,9808000,0.006528352016267861,0.02007592927352578
2021-08-22,92.29310344827586,9.12361111111111,19.87678757679909,3.0,48.147891998291016,26.11823913289399,9343000,0.008538749621803,0.0199139811767204
2021-08-29,81.8448275862069,9.12361111111111,15.901430061439273,2.0,46.00737380981445,24.26815642016031,11420600,-0.009015426816908622,0.01980089835849298
2021-09-05,81.8448275862069,22.80902777777777,17.889108819119183,2.0,45.56031036376953,23.881752624352572,13084400,-0.0018737539286155403,0.01885797789975106
